Main_Genre,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year
Romance,Comedy,Action,6.8,96,2,PG,Universal Pictures,Smokey and the Bandit,126737428.00,1977
Sci-Fi,Drama,,7.7,137,3,PG,Columbia Pictures,Close Encounters of the Third Kind,116395460.00,1977
Romance,Drama,Comedy,7.4,111,4,PG,Metro-Goldwyn-Mayer,The Goodbye Girl,102000000.00,1977
Romance,Music,Drama,6.8,118,5,R,Paramount Pictures,Saturday Night Fever,94213184.00,1977
Fantasy,Comedy,,6.5,98,6,PG,Warner Bros,"Oh, God!",51061196.00,1977
War,History,Drama,7.4,175,7,PG,Metro-Goldwyn-Mayer,A Bridge Too Far,50750000.00,1977
Thriller,Mystery,Adventure,6.1,123,8,PG,Columbia Pictures,The Deep,47346365.00,1977
Thriller,Adventure,Action,7.1,125,9,PG,Metro-Goldwyn-Mayer,The Spy Who Loved Me,46838673.00,1977
Romance,Drama,Comedy,8.1,93,10,PG,Metro-Goldwyn-Mayer,Annie Hall,38251425.00,1977
Sport,Drama,,8.1,119,1,PG,Metro-Goldwyn-Mayer,Rocky,117235147.00,1976
History,Documentary,,7,27,2,G,National Air and Space Museum,To Fly!,86600000.00,1976
Romance,Music,Drama,6.5,139,3,R,Warner Bros,A Star Is Born,80000000.00,1976
Thriller,Drama,,8,138,4,R,Warner Bros,All the President's Men,70600000.00,1976
Thriller,Horror,Drama,7.6,111,5,R,20th Century Fox,The Omen,60922980.00,1976
Family,Documentary,,4.6,99,6,G,Sunn Classic Pictures,In Search of Noah's Ark,55700000.00,1976
Horror,Fantasy,Adventure,5.8,134,7,PG,Paramount Pictures,King Kong,52614445.00,1976
Crime,Comedy,Action,6.9,114,8,PG,20th Century Fox,Silver Streak,51079064.00,1976
Thriller,Crime,Action,6.8,96,9,R,Warner Bros,The Enforcer,46236000.00,1976
History,Drama,Action,6.7,132,10,PG,Universal Pictures,Midway,43220000.00,1976
Drama,Crime,,8.1,125,4,R,Warner Bros,Dog Day Afternoon,50000000.00,1975
Romance,Drama,,6.3,109,5,R,Columbia Pictures,Shampoo,49407734.00,1975
Thriller,Crime,Comedy,7.1,113,6,G,Metro-Goldwyn-Mayer,The Return of the Pink Panther,41833347.00,1975
Music,Drama,Comedy,6.4,136,7,PG,Columbia Pictures,Funny Lady,39000000.00,1975
Family,Western,Comedy,6.2,100,8,G,Walt Disney Pictures,The Apple Dumpling Gang,36853000.00,1975
Drama,,,6,88,9,PG,Columbia Pictures,"Aloha, Bobby and Rose",35000000.00,1975
Drama,Western,War,6.4,103,10,PG,Universal Pictures,The Other Side of the Mountain,34673100.00,1975
